link_id,Acum,Area,Long,h_order,dest,prun_7,prun_6,prun_5,prun_4
461866,0.125633,0.125633,0.425,1,461561,5,9,29,473
463134,0.841626,0.389424,0.714,2,463135,6,10,51,196
396542,0.366987,0.366987,0.711,1,395601,2,2,97,253
381588,5.323824,0.5323,0.88,3,381589,4,20,78,375
465673,0.301394,0.301394,0.545,1,466997,6,10,26,310
391999,0.493778,0.493778,0.883,1,390976,4,17,75,382
473172,2.358928,0.025097,0.096,2,473173,6,10,35,95
418953,84.251625,0.391403,0.851,5,418954,3,16,41,141
399630,435.79834,0.594238,0.912,6,399631,4,11,27,75
364372,0.317401,0.317401,0.586,1,364877,0,0,95,392
449678,56.725967,0.125999,0.425,4,449679,3,4,57,162
410674,0.366433,0.366433,0.836,1,410520,4,7,62,199
480954,1.053062,1.053062,1.654,1,479524,6,10,42,133
432927,0.302516,0.302516,0.557,1,432158,5,13,36,99
474294,1.605824,1.354917,1.729,2,480320,5,9,29,131
405321,7.762379,0.088516,0.489,3,405322,4,7,87,314
376068,0.62142,0.114138,0.519,2,372828,0,0,0,207
367381,152.5813,0.418105,0.62,5,367382,0,0,0,122
411461,30.759796,0.277975,0.488,4,411462,7,12,58,197
462146,54.23765,0.238804,0.425,4,462147,6,10,51,149
429487,0.2522,0.2522,0.553,1,428849,5,6,14,44
440336,16.209942,0.428444,0.588,4,440337,3,4,80,218
374536,0.646907,0.646907,1.011,1,370995,0,0,0,222
450906,2.302315,0.239024,0.546,3,450907,5,13,37,472
397213,1.746194,0.518777,0.844,2,392469,4,19,48,146
413353,0.858944,0.11369,0.457,2,415799,4,11,33,194
481624,0.714527,0.175497,0.162,2,481625,6,10,42,182
390621,3.381044,0.012661,0.131,2,390622,4,17,73,325
478359,12.551397,0.125431,0.162,3,478360,6,10,46,193
416248,1.540643,1.540643,2.168,1,417406,3,3,82,229
427851,6.431926,0.252207,0.517,3,427852,5,6,14,366
431385,1.348986,0.012606,0.096,2,431386,7,14,44,295
483586,267.08813,1.267334,1.039,5,483587,6,10,35,95
450225,0.239047,0.239047,0.354,1,450378,6,8,84,324
452978,0.150926,0.150926,0.394,1,452488,5,9,29,93
425439,1.084855,1.084855,1.684,1,480430,5,9,24,66
448780,0.528508,0.528508,1.013,1,447537,3,4,52,315
369132,0.355363,0.355363,0.817,1,367129,0,0,95,409
399133,0.126509,0.126509,0.422,1,398964,4,11,33,96
446328,0.239145,0.239145,0.425,1,445899,5,13,37,317
464622,0.175837,0.175837,0.719,1,465998,5,9,29,300
423757,4.755874,0.13879,0.425,3,423758,3,3,6,369
446039,0.251738,0.251738,0.65,1,445767,6,21,90,240
439029,0.277119,0.277119,0.384,1,439515,3,4,57,162
375302,0.291714,0.291714,0.62,1,374537,0,0,0,222
389606,0.569872,0.569872,1.267,1,389100,4,20,49,156
408976,2.514847,0.50555,1.271,2,399620,4,11,27,78
445403,11.00416,0.138556,0.259,3,445404,3,4,52,291
419340,2.007097,0.54276,1.076,2,421080,7,14,38,115
398331,0.227741,0.227741,0.457,1,397074,4,7,19,351
432937,0.214282,0.214282,0.907,1,428872,5,6,14,39
480410,430.02386,0.327881,0.325,5,480411,5,9,28,76
435061,0.428466,0.428466,0.901,1,434214,6,8,17,48
480345,205.97066,0.037693,0.096,5,480346,5,9,29,112
440348,0.705418,0.705418,1.37,1,437653,7,14,44,374
413035,0.164222,0.164222,0.355,1,412658,4,7,62,199
396380,0.366993,0.366993,0.482,1,395038,4,17,68,178
433623,4.624981,0.315114,0.819,3,432340,7,14,50,449
438122,2.091083,0.453533,0.907,3,438123,3,4,11,420
466176,0.200926,0.200926,0.719,1,466998,6,10,26,310
434494,2757.5232,1.253107,2.374,7,434495,2,2,3,4
407554,0.429756,0.429756,0.914,1,410007,4,7,62,408
417113,0.189398,0.189398,0.751,1,434437,3,3,6,18
435448,91.48152,0.896103,1.161,4,421079,7,14,44,137
454347,0.251501,0.251501,0.619,1,454939,5,13,37,319
417541,0.189391,0.189391,0.584,1,416589,3,16,69,336
483581,258.41943,0.075271,0.258,5,483582,6,10,35,102
411476,55.88914,0.670103,1.101,4,411477,7,12,58,164
410679,0.808656,0.075816,0.263,2,410002,4,7,62,408
441601,8.008981,0.037786,0.163,3,441602,3,4,57,328
461701,0.414601,0.414601,0.574,1,461702,5,9,29,300
404331,0.252873,0.252873,0.783,1,405165,4,11,27,379
416420,0.239919,0.239919,0.814,1,413532,3,3,6,334
467344,85.05928,2.564505,1.85,4,467345,5,13,43,140
418941,60.507774,0.618557,0.843,5,418942,3,16,41,158
435177,0.189023,0.189023,0.747,1,442102,3,4,52,168
427846,0.630595,0.630595,1.064,1,428861,5,6,14,41
435755,24.80491,0.050437,0.131,3,435756,5,9,71,219
400690,0.404782,0.404782,0.518,1,400899,4,11,30,453
438289,4.346272,0.529121,0.901,2,437343,6,8,83,274
409141,6.685761,0.164292,0.163,3,409142,3,3,5,365
373838,1.560298,0.190271,0.356,2,373839,0,0,0,207
426630,0.454132,0.025228,0.131,2,426631,3,4,10,29
374537,0.684906,0.19026,0.489,2,371005,0,0,0,222
398509,0.278345,0.278345,0.557,1,396177,4,17,73,200
