link_id,Acum,Area,Long,h_order,dest,prun_7,prun_6,prun_5,prun_4,vo6,vo5,vo4,la6,la5,la4
443670,0.264407,0.264407,0.8420000000000001,1,442977,5,13,99,384,0.1725311434113066,0.15568474361812348,0.16275744386645663,0.18965075731705947,0.21917946639148875,0.1749541633794425
447806,0.792776,0.037752999999999995,0.163,2,447807,6,8,98,335,0.3092160324214545,0.2220230908344562,0.3530208701728961,0.2469806903309755,0.2473770798226895,0.23067062067821378
420544,0.252438,0.252438,0.584,1,421738,3,16,41,141,0.317589521965916,0.2790445375022574,0.2994233758463605,0.22972279995357875,0.19713292481905642,0.159862393776372
458513,0.213668,0.213668,0.619,1,459120,6,10,26,74,0.3092160324214545,0.20718303266636687,0.30677833595700316,0.2469806903309755,0.22780865929110866,0.18956457493114853
478909,0.41380200000000006,0.41380200000000006,1.244,1,478011,6,10,35,360,0.3092160324214545,0.20718303266636687,0.2770864319173206,0.2469806903309755,0.22780865929110866,0.16273254356032127
413989,0.252625,0.252625,0.42200000000000004,1,414294,7,12,34,299,0.14549624075576248,0.0985967510631887,0.19378675868868006,0.1609964612248076,0.23369648518284095,0.23145408029269848
394679,0.405022,0.405022,0.914,1,395243,4,7,16,46,0.20993669096136777,0.22985273100157666,0.16792687275196652,0.20119312529290553,0.2739009018557972,0.22614480529932085
466493,19.765594,0.200989,0.294,3,466494,6,10,51,241,0.3092160324214545,0.20718303266636687,0.27639123040174296,0.2469806903309755,0.22780865929110866,0.19564706437073676
393995,0.164553,0.164553,0.652,1,399685,4,7,16,46,0.20993669096136777,0.22985273100157666,0.16792687275196652,0.20119312529290553,0.2739009018557972,0.22614480529932085
362345,0.44446899999999995,0.44446899999999995,0.81,1,362346,0,0,94,389,0.3962792632007952,0.40650901813831486,0.33425925024324404,0.20971176997421168,0.2939686079949545,0.28802495392632954
474292,1.2169709999999998,0.363821,0.456,2,474293,5,9,29,296,0.1725311434113066,0.15303860946905487,0.20482160585562353,0.18965075731705947,0.18223097508297778,0.19048220302574384
432154,0.277327,0.277327,0.547,1,441910,5,9,24,202,0.1725311434113066,0.15303860946905487,0.1532075770273379,0.18965075731705947,0.18223097508297778,0.168199439910297
475023,0.288517,0.288517,0.611,1,478360,6,10,46,193,0.3092160324214545,0.20718303266636687,0.231788046750665,0.2469806903309755,0.22780865929110866,0.12962295942828225
449664,20.409187,0.591729,1.044,4,449665,3,4,57,225,0.317589521965916,0.3714384608867181,0.4033598248404734,0.22972279995357875,0.22178434675607697,0.21588347444866446
415808,25.946325,0.037919,0.163,3,415809,4,11,33,194,0.20993669096136777,0.25870961638704504,0.18358506714887957,0.20119312529290553,0.28656879105428096,0.3833868236577154
429486,0.290027,0.290027,0.902,1,441915,5,9,24,202,0.1725311434113066,0.15303860946905487,0.1532075770273379,0.18965075731705947,0.18223097508297778,0.168199439910297
