link_id,Acum,Area,Long,h_order,dest,prun_7,prun_6,prun_5,prun_4
290483,2.404548,0.115128,0.263,2,290484,3,4,8,109
305189,2.925304,0.089431,0.195,2,322805,2,3,17,44
335565,148.3959,0.012772,0.131,5,335566,2,7,14,29
292245,538.5013,0.038391,0.164,6,292246,3,4,4,8
343719,1.068825,1.068825,1.76,1,343032,2,7,24,50
297797,0.613593,0.613593,0.685,1,298332,2,8,18,41
268199,2.743161,2.038061,3.364,2,268200,3,4,4,56
325460,170.45766,0.306076,0.426,5,325461,2,6,11,25
307221,0.280939,0.280939,0.557,1,307852,3,5,12,26
314390,7.603381,0.051042,0.163,3,314391,2,8,18,88
333976,16.141392,0.433291,1.047,3,327003,2,6,22,84
322419,1.262424,1.262424,1.47,1,320849,2,6,11,25
292947,2.23808,0.984806,1.307,2,291649,2,3,21,111
279982,0.332963,0.332963,0.62,1,279651,2,2,2,2
298976,3.348232,0.715749,0.785,2,298977,3,4,8,76
346349,18.71467,0.101833,0.326,4,346350,2,7,35,72
320199,0.765198,0.216819,0.621,2,319160,2,7,36,120
310267,0.472356,0.472356,0.392,1,310681,2,3,7,17
300937,0.945612,0.945612,1.045,1,302058,2,8,30,60
305891,0.613024,0.613024,0.882,1,305673,3,5,9,78
318944,0.153068,0.153068,0.458,1,318512,2,8,18,88
268705,3.24314,0.512704,0.718,2,268706,3,4,4,56
322786,31.085728,0.038255,0.131,4,322787,2,3,17,62
288288,2.789644,0.063974,0.358,2,289933,3,9,27,55
325136,0.229452,0.229452,0.424,1,325135,2,7,14,107
320511,0.344335,0.344335,0.458,1,320361,2,6,32,116
306679,0.40865,0.40865,0.424,1,308949,3,5,9,78
278964,1.037417,1.037417,1.63,1,279293,3,4,23,146
333063,0.394836,0.394836,0.686,1,333792,2,6,22,84
296290,0.345177,0.345177,0.588,1,297364,2,3,5,7
302410,0.178869,0.178869,0.588,1,302936,3,5,12,26
300171,1.137429,1.137429,2.281,1,322810,2,3,17,37
302240,0.932772,0.932772,2.123,1,303579,2,3,17,121
294880,2.544353,1.150808,1.077,2,293966,3,4,8,73
345091,0.190833,0.190833,0.357,1,344937,2,7,35,72
280139,1.165377,1.165377,1.67,1,292246,3,4,4,8
286367,18.191505,0.076744,0.458,3,286368,3,9,27,68
320183,3.11176,0.344386,0.916,2,320184,3,5,25,122
300004,0.677322,0.677322,1.37,1,300807,2,3,7,10
341449,2.354647,0.08911,0.263,2,341450,2,6,26,54
297131,0.447411,0.447411,0.619,1,297348,3,5,9,21
302745,0.689938,0.689938,1.801,1,300804,2,8,30,60
311033,85.969376,0.025574,0.163,4,311034,2,8,18,41
346667,0.292556,0.292556,0.426,1,348660,2,7,24,87
309590,1.11074,0.459602,0.813,2,311009,2,8,18,65
278635,5.865491,0.384226,0.978,3,278636,3,4,23,115
319347,11.65828,0.191332,0.589,4,319348,2,6,32,82
305190,0.383154,0.383154,0.292,1,305187,2,3,17,44
271868,1.012348,1.012348,1.734,1,275073,3,4,4,8
333969,2.406958,0.038207,0.163,3,333970,2,6,22,84
341456,11.409236,0.050966,0.458,2,341457,2,6,26,54
304352,2.810385,0.29378,0.753,3,305307,3,5,34,143
295243,21.22025,1.189283,1.436,4,295244,3,9,28,57
332575,0.764262,0.764262,1.374,1,330985,2,7,14,112
301879,0.408867,0.408867,0.588,1,302407,3,5,16,92
320680,0.20405,0.20405,0.424,1,320362,2,6,32,141
314232,0.421102,0.421102,0.818,1,318699,3,5,25,86
307861,195.90193,0.012772,0.097,5,307862,3,5,9,24
288289,0.255899,0.255899,0.685,1,283810,3,4,8,81
281200,0.985935,0.448172,0.753,2,281201,3,4,23,115
316378,0.318953,0.318953,1.045,1,317410,2,6,11,25
302934,14.256258,0.600181,1.243,3,307839,3,5,16,92
305676,14.698901,0.344939,0.948,3,305677,3,5,9,78
277236,1.70354,1.70354,2.448,1,276528,3,4,33,97
312445,0.957183,0.957183,1.31,1,314065,2,6,32,67
288498,0.447802,0.447802,0.719,1,289123,2,3,3,5
299622,0.230049,0.230049,0.685,1,313477,2,3,7,10
302237,0.217199,0.217199,0.424,1,301881,2,8,30,60
326077,0.229435,0.229435,0.357,1,327009,2,6,22,61
292941,2.621918,2.621918,3.098,1,295247,3,9,28,57
331928,0.229288,0.229288,0.458,1,331647,2,6,29,96
285190,0.102394,0.102394,0.491,1,285403,2,2,2,4
295491,0.958855,0.958855,0.556,1,294880,3,4,8,73
320678,1.530355,0.127541,0.163,2,319660,3,5,31,66
307020,0.625712,0.625712,0.85,1,307878,3,5,12,31
286169,0.179174,0.179174,0.491,1,285605,3,9,27,127
314393,9.862242,0.701952,0.879,3,314394,2,8,18,88
330342,0.981122,0.981122,1.803,1,328003,2,7,14,107
325666,2.854885,0.407913,1.24,2,325453,2,6,11,25
347535,0.559633,0.559633,0.911,1,346873,2,7,35,144
307844,141.49289,0.893799,1.143,5,307845,3,5,12,31
309740,0.306401,0.306401,0.622,1,308941,3,5,12,31
324481,0.344192,0.344192,1.111,1,327006,2,6,22,61
312591,3.701159,0.255231,0.458,2,312592,2,3,17,44
317399,0.67612,0.67612,0.981,1,318515,2,8,18,88
325454,165.35736,0.025513,0.131,5,325455,2,6,11,25
323297,0.229492,0.229492,0.394,1,325457,2,6,11,25
297360,20.21022,0.025577,0.163,3,297361,3,4,8,76
331460,0.369421,0.369421,0.426,1,330983,2,6,29,74
284689,0.179198,0.179198,0.426,1,283808,3,4,8,81
295747,0.498639,0.498639,1.147,1,294164,3,4,8,73
307869,246.43578,0.294067,0.619,5,307870,3,5,9,20
342816,1.043459,1.043459,1.953,1,344611,2,6,26,54
289475,0.371012,0.371012,0.657,1,289667,3,4,8,109
339734,0.763689,0.763689,1.106,1,343926,2,7,24,50
297795,6.992066,0.703162,0.751,3,297796,3,9,28,113
325456,167.72893,0.803299,0.715,5,325457,2,6,11,25
346493,3.205253,0.330732,0.49,3,346494,2,7,24,102
341605,1.336202,0.381803,0.52,2,341606,2,7,35,72
282559,0.23045,0.23045,0.458,1,282202,3,4,23,51
322796,59.599613,0.012768,0.163,4,322797,2,3,17,44
319159,3.979942,0.165819,0.327,3,319160,2,7,36,120
296107,0.3324,0.3324,0.915,1,297347,3,5,9,21
350141,0.139864,0.139864,0.394,1,349603,2,7,35,137
295259,42.233032,0.882525,1.371,4,291332,3,9,28,57
314678,0.957038,0.957038,2.341,1,312592,2,3,17,44
290482,0.345375,0.345375,0.458,1,289939,3,4,8,109
311737,0.319111,0.319111,1.045,1,316711,3,5,25,52
348667,0.635852,0.635852,1.274,1,347217,2,7,35,144
319667,22.105015,0.535927,0.587,3,319668,3,5,31,66
292230,393.78885,0.102356,0.261,6,292231,3,4,8,18
327517,0.420585,0.420585,0.914,1,327008,2,6,22,61
321166,1.772568,0.446367,0.916,2,320037,2,6,32,141
326402,17.7042,0.152987,0.652,3,326403,2,3,17,80
325285,10.806019,0.293218,0.589,3,325286,2,3,17,103
335542,80.07308,0.076431,0.295,5,335543,2,7,14,40
311208,1.021273,1.021273,2.256,1,311398,2,8,18,101
335553,105.71598,0.038239,0.163,5,335554,2,7,14,35
297137,0.370725,0.370725,0.59,1,297958,2,3,21,117
294884,1.470476,0.434709,1.504,2,309963,2,3,21,47
305685,2.183884,0.191592,0.589,2,305686,2,3,17,44
302067,36.471092,0.332481,0.685,4,302068,2,8,30,60
343928,45.34054,0.203674,0.357,4,343929,2,7,24,50
292228,390.8075,0.97229,0.818,6,292229,3,4,8,18
307217,0.702363,0.702363,1.504,1,305507,3,5,34,130
297355,8.141358,0.319598,0.785,3,297356,3,4,8,76
335551,104.98946,0.038241,0.163,5,335552,2,7,14,35
294164,1.137941,0.051149,0.163,2,293966,3,4,8,73
289940,0.997805,0.140726,0.818,2,289941,3,4,8,73
343925,42.043648,0.636383,0.816,4,343926,2,7,24,50
308074,0.191532,0.191532,0.358,1,307880,2,8,18,65
300938,0.166116,0.166116,0.358,1,301076,2,3,21,59
312072,0.357389,0.357389,0.753,1,311209,2,8,18,101
279124,0.204914,0.204914,0.491,1,278640,3,4,33,69
313472,448.55524,0.063904,0.263,6,313473,2,3,7,12
343919,28.79643,0.254513,0.587,4,343920,2,7,24,50
302059,25.350325,0.115021,0.295,4,302060,2,8,30,60
278638,0.333013,0.333013,0.39,1,278639,3,4,23,75
292254,601.0256,1.255853,1.139,6,292255,3,4,4,6
320364,0.255078,0.255078,0.621,1,319674,2,7,14,89
313670,0.370066,0.370066,1.112,1,318698,3,5,25,86
341962,0.381778,0.381778,0.52,1,341448,2,6,26,54
285012,3.839187,0.575996,1.046,2,285013,2,2,2,99
303305,0.357712,0.357712,1.175,1,302238,2,8,30,133
299615,1.239671,0.549584,1.343,2,299616,3,9,28,113
309942,0.20426,0.20426,0.424,1,311395,2,8,18,101
293448,0.204611,0.204611,0.458,1,292947,2,3,21,111
320368,1.466718,1.466718,2.937,1,318523,2,3,17,126
307551,1.404628,0.791726,1.338,2,307552,3,5,12,26
323772,3.569625,1.478964,2.573,2,325476,2,7,14,107
313814,0.47217,0.47217,0.653,1,314242,2,8,18,118
325133,0.267699,0.267699,0.357,1,323508,2,6,22,114
286567,1.778874,0.819019,1.371,2,313496,2,2,2,4
321165,0.688606,0.038258,0.163,2,321166,2,6,32,141
